1,John,Doe,john.doe@example.com,Toyota,Camry,2019,25000.0
2,Jane,Smith,jane.smith@example.com,Honda,Accord,2020,27000.0
3,Hiimo,Narep,hiimonrep@gmail.com,Zaporozets,Focus,2018,20000.0
4,Selinda,Clutterbuck,sclutterbuck3@webs.com,Daewoo,Nubira,2001,$4.32
6,Noam,Stables,nstables5@moonfruit.com,Isuzu,Hombre,1997,$5.11
7,Merle,Walentynowicz,mwalentynowicz6@pinterest.com,Mercury,Mystique,2000,$4.19
8,Briney,Beasant,bbeasant7@google.co.uk,Dodge,Avenger,1997,$8.43
9,Roxy,Bedome,rbedome8@live.com,Mercury,Mystique,1996,$3.74
11,Jaime,Madine,jmadinea@bloomberg.com,Nissan,Quest,1997,$1.53
12,Danya,Plott,dplottb@alexa.com,Daewoo,Nubira,2002,$7.79
13,Seumas,Gilding,sgildingc@cafepress.com,Lexus,ES,2002,$8.29
14,Simone,Wolver,swolverd@ameblo.jp,Infiniti,I,2004,$5.60
16,Skelly,Housegoe,shousegoef@e-recht24.de,Plymouth,Neon,1999,$8.12
17,Margaux,Lokier,mlokierg@pinterest.com,Subaru,Loyale,1992,$3.75
18,Dorette,Golden,dgoldenh@wix.com,Pontiac,Sunbird,1994,$5.73
19,Christiane,Giorgini,cgiorginii@lulu.com,Pontiac,Safari,1986,$5.91
20,Gusella,Foxon,gfoxonj@indiegogo.com,Ford,E-Series,1991,$6.37
21,Tania,Muggleston,tmugglestonk@nifty.com,Toyota,Echo,2001,$2.57
22,Janice,Morales,jmoralesl@wired.com,Oldsmobile,Bravada,1993,$8.33
23,Killian,Blodgetts,kblodgettsm@hp.com,Saab,9000,1997,$4.63
24,Evaleen,Jordan,ejordann@freewebs.com,Maserati,228,1989,$0.73
25,Percy,"de Pinna",pdepinnao@hc360.com,Acura,RL,2012,$3.78
26,Harmonie,Heminsley,hheminsleyp@wordpress.org,Lexus,LS,1994,$3.28
27,Smith,Hullins,shullinsq@alibaba.com,Mitsubishi,"Montero Sport",2004,$7.41
28,Nancie,Lotze,nlotzer@oakley.com,Pontiac,Firebird,1992,$6.09
30,Hunt,Espinay,hespinayt@hhs.gov,Ford,Laser,1987,$1.92
31,Abbey,Ashford,aashfordu@github.com,Infiniti,G,1996,$4.68
32,Irwin,McNiven,imcnivenv@cbc.ca,Lotus,Evora,2010,$3.08
33,Grover,Rizziello,grizziellow@desdev.cn,Acura,RDX,2009,$6.23
34,Hiram,Norrie,hnorriex@epa.gov,Volvo,940,1995,$7.19
35,Mal,Futty,mfuttyy@networkadvertising.org,Ford,Fiesta,2011,$2.60
